unique_id,first_name,last_name,gender,age,ethnicity,disability,favourite colour,email,phone,age_bucket,colour_bucket,address_check_aus
1,Amina,Darane,Female,45,Asian or Asian British,Yes,Red,Amina@gmail.com,045263723777,45-54,Red,
2,Li,Zemin,Non-binary or other,49,White,No,Green,Li@gmail.com,052127191491,45-54,Green,
3,Ahmed,Al-Mahdi,Male,40,Asian or Asian British,No,Green,Ahmed@gmail.com,033615836073,35-44,Green,
4,Sofia,Vellaro,Female,51,Mixed or Multiple ethnic groups,Yes,Red,Sofia@gmail.com,028597102346,45-54,Red,
5,Arjun,Devkumar,Male,35,White,No,Blue,Arjun@gmail.com,041573050181,35-44,Blue,
6,Maria,Costella,Female,68,Asian or Asian British,Yes,Green,Maria@gmail.com,020317781600,65+,Green,
7,Samuel,Dembayo,Male,51,Black or African or Caribbean or Black British,No,Blue,Samuel@gmail.com,046627436916,45-54,Blue,
8,Fatima,Benyara,Female,72,White,No,Red,Fatima@gmail.com,046095836625,65+,Red,
9,Pedro,Salgueiro,Male,59,Asian or Asian British,Yes,Green,Pedro@gmail.com,013761168848,55-64,Green,
10,Mei,Hua-Lin,Non-binary or other,42,Other ethnic group,Yes,Blue,Mei@gmail.com,067055383373,35-44,Blue,
11,Adama,Keïta,Male,55,Asian or Asian British,No,Blue,Adama@gmail.com,025802774690,55-64,Blue,
12,Priya,Tharoor,Female,50,Mixed or Multiple ethnic groups,No,Green,Priya@gmail.com,054799755248,45-54,Green,
13,Xavier,Monteiro,Male,65,White,Yes,Green,Xavier@gmail.com,049468089157,65+,Green,
14,Isabella,Fioretti,Female,58,Asian or Asian British,Yes,Blue,Isabella@gmail.com,050574381493,55-64,Blue,
15,Ayesha,Nasiri,Female,38,White,No,White,Ayesha@gmail.com,053332146619,35-44,Other,
16,Mohamed,El-Fayad,Male,70,Asian or Asian British,No,Red,Mohamed@gmail.com,013089070777,65+,Red,
17,Oumar,Ndiaye,Male,44,Black or African or Caribbean or Black British,No,Depends on my mood,Oumar@gmail.com,06509009361,35-44,Other,
18,Ana,Bragança,Female,69,White,Yes,Blue,Ana@gmail.com,029452123957,65+,Blue,
19,Yuki,Nakamori,Non-binary or other,59,Mixed or Multiple ethnic groups,Yes,Blue,Yuki@gmail.com,028289091249,55-64,Blue,
20,Amara,Tendai,Female,60,Asian or Asian British,No,Red,Amara@gmail.com,058944565226,55-64,Red,
21,Hiroshi,Kurosaka,Male,41,White,Yes,Green,Hiroshi@gmail.com,035065337531,35-44,Green,
22,Chipo,Mwandu,Female,25,Asian or Asian British,No,Green,Chipo@gmail.com,020658597923,25-34,Green,
23,Elena,Savic,Female,39,Other ethnic group,Yes,Green,Elena@gmail.com,057701804266,35-44,Green,
24,Carlos,Navarro,Male,67,White,No,Blue,Carlos@gmail.com,041757011297,65+,Blue,
25,Jamilah,Omaran,Female,61,Asian or Asian British,No,Black,Jamilah@gmail.com,072631906386,55-64,Other,
26,Luca,Ferraro,Male,43,White,Yes,Red,Luca@gmail.com,066465315253,35-44,Red,
27,Kwame,Mensah,Male,71,Black or African or Caribbean or Black British,No,Green,Kwame@gmail.com,015751018430,65+,Green,
28,Maria,Iskandari,Female,46,Asian or Asian British,Yes,Green,Maria@gmail.com,030228180920,45-54,Green,
29,Sergei,Vetrov,Male,57,White,No,Blue,Sergei@gmail.com,032989032635,55-64,Blue,
30,Jada,Nkosi,Female,62,Mixed or Multiple ethnic groups,Yes,pink,Jada@gmail.com,056834600851,55-64,Other,
31,Nia,Morani,Female,66,Mixed or Multiple ethnic groups,No,Green,Nia@gmail.com,073119790483,65+,Green,
32,Zhi,Leung,Non-binary or other,24,White,Yes,Red,Zhi@gmail.com,026513636804,18-24,Red,
33,Tanya,Yurenko,Female,37,Asian or Asian British,No,don't know,Tanya@gmail.com,076316697389,35-44,Other,
34,Ibrahim,Darwish,Male,25,Black or African or Caribbean or Black British,No,Blue,Ibrahim@gmail.com,056333715878,25-34,Blue,
35,Leila,Kacem,Female,65,Mixed or Multiple ethnic groups,Yes,Blue,Leila@gmail.com,075287791345,65+,Blue,
36,Noura,Al-Harazi,Female,42,White,Yes,magenta,Noura@gmail.com,039585926670,35-44,Other,
37,Ines,D'Almeida,Female,44,Asian or Asian British,Yes,Green,Ines@gmail.com,020550412652,35-44,Green,
38,Malika,Chebbani,Female,40,Other ethnic group,No,Green,Malika@gmail.com,047431193569,35-44,Green,
39,Jun,Ma-Kwon,Male,22,Mixed or Multiple ethnic groups,No,Green,Jun@gmail.com,016503348454,18-24,Green,
40,Hakeem,Al-Nuri,Male,68,Asian or Asian British,No,Stripes,Hakeem@gmail.com,027576439319,65+,Other,
41,Rania,Kassim,Female,47,White,Yes,Red,Rania@gmail.com,022080613482,45-54,Red,
42,Elisa,Doménech,Female,36,Other ethnic group,Yes,Green,Elisa@gmail.com,041770439702,35-44,Green,
43,Dima,Kozlova,Male,48,Asian or Asian British,No,Green,Dima@gmail.com,014857542273,45-54,Green,
44,Soraya,Najdani,Female,70,White,Yes,Green,Soraya@gmail.com,026120126479,65+,Green,
45,Jack,WhitNo,Male,49,Mixed or Multiple ethnic groups,No,Blue,Jack@gmail.com,013831104457,45-54,Blue,
46,Ananya,Vishwanath,Female,50,Asian or Asian British,No,Blue,Ananya@gmail.com,025619190925,45-54,Blue,
47,Tomas,Král,Male,47,White,Yes,Blue,Tomas@gmail.com,022186568637,45-54,Blue,
48,Sarah,Haddad,Female,67,Asian or Asian British,Yes,magenta,Sarah@gmail.com,028031045147,65+,Other,
49,Ravi,Mehra,Male,23,Black or African or Caribbean or Black British,No,magenta,Ravi@gmail.com,03668961193,18-24,Other,
50,Eva,Janković,Female,39,White,Yes,Red,Eva@gmail.com,055126042738,35-44,Red,
51,Mohammed,Zahiri,Male,66,Asian or Asian British,No,Green,Mohammed@gmail.com,061011156490,65+,Green,
52,Oksana,Levchenko,Female,44,White,Yes,don't know,Oksana@gmail.com,030274019898,35-44,Other,
